Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
10:35:19,07-10-2022,8724731955,2769355426,1459.15,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:35:20,07-10-2022,1491989064,8401255335,6019.64,UK pounds,Dirham,UK,UAE,Cross-border,0,Normal_Fan_Out
10:35:20,07-10-2022,287305149,4404767002,14328.44,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:35:21,07-10-2022,5376652437,9600420220,11895,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
10:35:21,07-10-2022,9614186178,3803336972,115.25,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:35:21,07-10-2022,8974559268,3143547511,5130.99,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
10:35:23,07-10-2022,980191499,8577635959,12176.52,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:35:23,07-10-2022,8057793308,9350896213,56.9,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
10:35:26,07-10-2022,6116657264,656192169,4738.45,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
10:35:29,07-10-2022,7421451752,2755709071,5883.87,Indian rupee,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:35:31,07-10-2022,5119661534,9734073275,2342.31,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:35:34,07-10-2022,5606024775,8646193759,1239.61,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:35:34,07-10-2022,1405792399,5109623450,16555.31,UK pounds,Pakistani rupee,UK,UK,Credit card,0,Normal_Fan_In
10:35:37,07-10-2022,2188890133,3938416782,15459.46,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:35:37,07-10-2022,6715177555,4460925916,586.28,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:35:37,07-10-2022,7017008854,3714297114,1971.15,UK pounds,Euro,UK,Spain,Cross-border,0,Normal_Small_Fan_Out
10:35:38,07-10-2022,2047410771,6646502650,8110.72,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_In
10:35:41,07-10-2022,1470504995,3347268325,1190.3,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
10:35:43,07-10-2022,4473647189,7892884492,11957.87,UK pounds,US dollar,UK,USA,Cross-border,0,Normal_Fan_In
10:35:44,07-10-2022,8184612956,5628674969,10529.75,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
10:35:46,07-10-2022,3709430533,9172843471,5274.76,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
